Category	Sub-Category	Variable Name	Label	Variable Type	Coding
Core	Reproductive History	breastfeed_dur_b8	Duration of breastfeeding (months) for eighth birth	Decimal	"Time in months
666 - NA (didn't breastfeed)
777 - Nonparous
888 - Missing/Unknown"
Core	Reproductive History	breastfeed_dur_b9	Duration of breastfeeding (months) for ninth birth	Decimal	"Time in months
666 - NA (didn't breastfeed)
777 - Nonparous
888 - Missing/Unknown"
Core	Reproductive History	breastfeed_dur_b10	Duration of breastfeeding (months) for tenth birth	Decimal	"Time in months
666 - NA (didn't breastfeed)
777 - Nonparous
888 - Missing/Unknown"
Core	Reproductive History	ocuse_ever	Ever use of oral contraceptives	Categorical	"0 - Never used oral contraceptives
1 - Ever used oral contraceptives
888 - Missing/Unknown"
Core	Reproductive History	ocuse_current	Current OC use (at record_date)	Categorical	"0 - No
1 - Yes
888 - Missing/Unknown"
Core	Reproductive History	ocuse_dur	Lifetime duration of oral contraceptive use  in months	Decimal	"Time in months
777 - NA (never user)
888 - Missing/Unknown"
Core	Reproductive History	ocuse_start	Age at first use of oral contraceptive	Decimal	"Age in years 
777 - NA (never user) 
888 - Missing/Unknown"
Core	Reproductive History	ocuse_stop	Age at last use of oral contraceptive	Decimal	"Age in years (if stopped before reference date)
666 - Current user
777 - NA (never user) 
888 - Missing/Unknown"
Core	Reproductive History	othcontracep_ever	Use of other types of hormonal contraceptives 	Categorical	"0 - Never
1 - Ever
888 - Missing/Unknown"
Core	Reproductive History	othcontracep_current	Current use of other types of hormonal contraceptives	Categorical	"0 - No
1 - Yes
888 - Missing/Unknown"
Core	Reproductive History	meno_status	Menopausal status	Categorical	"1 - Postmenopausal
2 - Premenopuasal
3 - Perimenopausal/other
888 - Missing/Unknown"
Core	Reproductive History	meno_age	Age at menopause in years	Decimal	"Age in years
777 - Premenopausal at questionnaire
888 - Missing/Unknown"
Core	Reproductive History	meno_reason	Reason for menopause	Categorical	"1 - Natural
2 - Surgical
3 - Radiation/Chemotherapy induced
4 - Medication
5 - Artificial/Induced (no detail)
777 - NA (premenopausal)
888 - Missing/Unknown"
Core	Hormone Replacement Therapy	hrtuse	Use of any hormone replacement therapy	Categorical	"0 - Never used hormonal replacement therapy
1 - Current use
2 - Former use
3 - Ever used (unknown current or former) 
888 - Missing/Unknown"
Core	Hormone Replacement Therapy	hrt_dur	Lifetime duration of hormonal replacement therapy in months	Decimal	"Time in months
666 - NA (premenopausal)
777 - Never user
888 - Missing/Unknown"
Core	Hormone Replacement Therapy	hrtuse_ep	Use of E+P hormone replacement therapy	Categorical	"0 - Never used hormonal replacement therapy
1 - Current use
2 - Former use
3 - Ever used (unknown current or former) 
888 - Missing/Unknown"
Core	Hormone Replacement Therapy	hrtep_dur	Lifetime duration of E+P hormonal replacement therapy in months	Decimal	"Time in months
666 - NA (premenopausal)
777 - Never user
888 - Missing/Unknown"
Core	Hormone Replacement Therapy	hrtuse_eonly	Use of E only hormone replacement therapy	Categorical	"0 - Never used hormonal replacement therapy
1 - Current use
2 - Former use
3 - Ever used (unknown current or former) 
888 - Missing/Unknown"
Core	Hormone Replacement Therapy	hrteonly_dur	Lifetime duration of E only hormonal replacement therapy in months	Decimal	"Time in months
666 - NA (premenopausal)
777 - Never user
888 - Missing/Unknown"
Core	Physical Activity	pa_mets	Leisure time physical activity (MET hrs/wk)	Decimal	"MET hrs/wk
888 - Missing/Unknown"
Core	Physical Activity	pa_pct	Leisure time physical activity (percentile)	Integer	"Percentile
888 - Missing/Unknown"
Core	Screening History	screen_ever	Ever had a screening mammogram	Categorical	"0 - Never
1 - Ever
888 - Missing/Unknown"
Core	Screening History	screen_start	Age at first screening mammogram	Decimal	"Age in years
777 - Never screened
888 - Unknown/Missing"
Core	Screening History	lastscreen_year	Year of last screening mammogram	Integer	"YYYY
777 - Never screened
888 - Unknown/Missing"
Mammographic density	Mammographic density	Mam_Qdate	Date mammogram questionnairre data collected	Date	"dd/mm/yyyy
08/08/8000 - Missing/Unknown"
Mammographic density	Mammographic density	MamYear	Year of mammogram	Date	"yyyy
8888 - Missing/Unknown"
Mammographic density	Mammographic density	MamAge	Age at mammogram	Decimal	"Age in years
888 - Missing/Unknown"
Mammographic density	Mammographic density	MamBMI	BMI at time of mammogram	Decimal	"BMI in kg/m2
888 - Missing/Unknown"
Mammographic density	Mammographic density	MamMenoStat	Menopausal status at mammogram	Categorical	"1 - Premenopausal
2 - Postmenopausal
3 - Perimenopausal
888 - Missing/Unknown "
Mammographic density	Mammographic density	MamHRTCurrent	Current use of HRT (or within 6 months prior to mammogram)	Categorical	"0 - No (or duration <3 mo)
1 - Yes (duration >3 mo) 
888 - Missing/Unknown"
Mammographic density	Mammographic density	MamType	Digital vs Analogue	Categorical	"1 - Digital
2 - Analogue
888 - Missing/Unknown"
Mammographic density	Mammographic density	MamProcess	"Raw (""For Processing"") vs Processed (""For Presentation"")"	Categorical	"1 - Raw
2 - Processed
777 - NA
888 - Missing/Unknown"
Mammographic density	Mammographic density	ThreshPkg	Thresholding package used	Categorical	"1 - Cumulus
2 - Other
888 - Missing/Unknown"
Mammographic density	Mammographic density	ThreshPkg_detail	"Thresholding package used if ""other"""	Character	"Free text
777 - NA
888 - Missing/Unknown"
Mammographic density	Mammographic density	VolDenSoftware	Volumetric density software used	Categorical	"1 - Volpara
2 - Quantra
3 - SXA
4 - Other
888 - Missing/Unknown"
Mammographic density	Mammographic density	VolDenSoftware_detail	"Volumetric density software used if ""other"""	Character	"Free text
777 - NA
888 - Missing/Unknown"
Mammographic density	Mammographic density	PDArea_A	Percent density from thresholding method on corresponding image	"0-100, 777=NA, 888=DK"	numerical with decimals
Mammographic density	Mammographic density	DenArea_A	Absolute dense area from mammogram	"cm2, 777=NA, 888=DK"	numerical with decimals
Mammographic density	Mammographic density	NonDArea_A	Absolute nondense area from mammogram (Total area minus dense area)	"cm2, 777=NA, 888=DK"	numerical with decimals
Mammographic density	Mammographic density	MamDensity	BIRADS density category (left & right average)	Categorical	"1 - Fatty
2 - Scattered areas
3 - Heterogenously dense
4 - Extremely dense
888 - Missing/Unknown"
Incident Breast Cancer	Censoring	lastfup	Year od last follow up	Integer	"yyyy	
7777- NA	
8888 - Missing/Unknown"
Incident Breast Cancer 	Diagnostic	dxdate_primary1	Year of diagnosis of 1st primary breast cancer	Integer	"yyyy
7777- NA
8888 - Missing/Unknown"
Incident Breast Cancer 	Diagnostic	detection_primary1	Mode of detection of 1st primary breast cancer	Categorical	"1 - Screen-detected
2 - Non-screen detected
888 - Missing/Unknown"
Incident Breast Cancer 	Diagnostic	detection_detail_primary1	Details on mammogram detection	Categorical	"1 - Mammography
2 - Sonography
3 - Self-detected by palpation
4 - Medical exam
777 - NA
888 - Missing/Unknown"
Incident Breast Cancer 	Diagnostic	invasive_primary1	Invasive or insitu for 1st primary breast cancer	Categorical	"1 - Invasive
2 - Insitu
888 - Missing/Unknown"
Incident Breast Cancer 	Diagnostic	dxdate_primary2	Year of diagnosis of 2nd primary breast cancer	Integer	"yyyy
7777- NA
8888 - Missing/Unknown"
Incident Breast Cancer 	Diagnostic	detection_primary2	Mode of detection of 2nd primary breast cancer	Categorical	"1 - Screen-detected
2 - Non-screen detected
888 - Missing/Unknown"
Incident Breast Cancer 	Diagnostic	detection_detail_primary2	Details on mammogram detection	Categorical	"1 - Mammography
2 - Sonography
3 - Self-detected by palpation
4 - Medical exam
777 - NA
888 - Missing/Unknown"
Incident Breast Cancer 	Diagnostic	invasive_primary2	Invasive or insitu breast cancer for 2nd primary breast cancer	Categorical	"1 - Invasive
2 - Insitu
777 - NA
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	stage_primary1	TNM stage for first primary tumor	Categorical	"0 - Insitu
1,2,3,4
777 - NA
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	grade_primary1	Histopathological grade for first primary tumor	Categorical	"1 - Well-differentiated
2 - Moderately differentiated
3 - Poorly/Undifferentiated
777 - NA
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	size_primary1	Tumor size (maximum diameter in mm)	Decimal	"Diameter in mm
777 - NA
888= Missing/Unknown"
Incident Breast Cancer 	Pathology	sizecat_primary1	"Tumor size of first primary, categorized"	Categorical	"1 - >0 to <=2cm
2 - >2cm and <=5cm
3 - >5cm
777 - NA
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	er_primary1	ER status of first primary tumor	Categorical	"0 - Negative
1 - Positive
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	pr_primary1	PR status of first primary tumor	Categorical	"0 - Negative
1 - Positive
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	her2_primary1	HER2 status of first primary tumor	Categorical	"0 - Negative
1 - Positive
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	ki67_primary1	Ki67 expression (% positive cells) for first primary tumor	Integer	"Percent (0-100)
777- NA
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	ki67cat_primary1	"Ki67 expression level for first primary tumor, dichotomous (include only if continuous unavailable)"	Categorical	"0 - Low
1 - High 
777 - NA
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	stage_primary2	TNM stage for second primary tumor	Categorical	"0,1,2,3,4
777 - NA
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	grade_primary2	Histopathological grade for second primary tumor	Categorical	"1 - Well-differentiated
2 - Moderately differentiated
3 - Poorly/Undifferentiated
777 - NA
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	size_primary2	Tumor size second primary (maximum diameter in mm)	Decimal	"Diameter in mm
777 - NA
888= Missing/Unknown"
Incident Breast Cancer 	Pathology	sizecat_primary2	"Tumor size of second primary, categorized"	Categorical	"1 - <0 to <=2cm
2 - >2cm and <=5cm
3 - >5cm
777 - NA
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	er_primary2	ER status of second primary tumor	Categorical	"0 - Negative
1 - Positive
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	pr_primary2	PR status of second primary tumor	Categorical	"0 - Negative
1 - Positive
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	her2_primary1	HER2 status of second primary tumor	Categorical	"0 - Negative
1 - Positive
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	ki67_primary2	Ki67 expression (% positive cells) for second primary tumor	Integer	"Percent (0-100)
777- NA
888 - Missing/Unknown"
Incident Breast Cancer 	Pathology	ki67cat_primary2	"Ki67 expression level for second primary tumor, dichotomous, (include only if continuous is unavailable)"	Categorical	"0 - Low
1 - High 
777 - NA
888 - Missing/Unknown"
